Building,Era,District,Effects,Cost,Unlocked by,Unique to,Replaces,Infrastructure
Airport,Atomic Era,Aerodrome,+50% combat experience for air units trained in this city. +2 air unit slots in Aerodrome district. +3 Production,"Production: 600, Maint.: 2",Advanced Flight,,,Hangar
Amphitheater,Classical Era,Theater Square,+2 Culture +1 Citizen slot +1 Great Writer point per turn. +2 Great Work of Writing slot.,"Production: 150, Maint.: 1",Drama and Poetry,,,
Ancient Walls,Ancient Era,City Center,Provides Walls around the City Center and Encampment districts that allow Ranged Strikes from their location. Must be defeated before a city can be assaulted. +100 Outer Defense Strength,Production: 80,Masonry,,,
Archaeological Museum,Renaissance Era,Theater Square,+2 Culture. +1 Citizen slot. +1 Great Writer point per turn. +2 Great Artist points per turn. +3 Artifact slots.,"Production: 290, Maint.: 2",Humanism,,,Amphitheater
Arena,Classical Era,Entertainment Complex,+1 Culture +1 Amenity,"Production: 150, Maint.: 1",Games and Recreation,,,
Armory,Medieval Era,Encampment,+25% combat experience for all land units trained in this city. +2 Production +1 Citizen slot +1 Great General point per turn,"Production: 195, Maint.: 2",Military Engineering,,,"Barracks, Stable"
Art Museum,Renaissance Era,Theater Square,+2 Culture +1 Citizen slot +1 Great Writer point per turn. +2 Great Artist points per turn. +3 Great Works of Art slots.,"Production: 290, Maint.: 2",Humanism,,,Amphitheater
Bank,Renaissance Era,Commercial Hub,+5 Gold +1 Citizen slot +1 Great Merchant point per turn.,Production: 290,Banking,,,Market
Barracks,Ancient Era,Encampment,"+25% combat experience for all melee, ranged and anti-cavalry land units trained in this city. May not be built in an Encampment district that already has a Stable. +1 Production +1 Housing +1 Citizen slot +1 Great General point per turn","Production: 90, Maint.: 1",Bronze Working,,,
Basilikoi Paides,Ancient Era,Encampment,"+1 Production +1 Housing +1 Citizen slot +1 Great General point per turn +25% combat experience for all melee, ranged, anti-cavalry land units, and Hetairoi trained in this city. Gain Science equal to 25% of the unit's cost when a non-civilian unit is created in this city. May not be built in an Encampment district that already has a Stable.","Production: 90, Maint.: 1",Bronze Working,Macedonian,Barracks,
