Improvement,Requires,Placement,Resource,Effects,Plunder,Unique to
Airstrip,Flight,Flat terrain,,"-1 Appeal, +3 Aircraft Capacity., Built by a Military Engineer.",,
Alcázar,,Cannot be built adjacent to another Alcázar.,,"+2 Culture, Occupying unit receives +4 Defense Strength and 2 turns of fortification.",Faith,Granada
Batey,,Cannot be built on hills or adjacent to another Batey.,,"+1 Culture, +1 Culture for every adjacent Bonus Resource and Entertainment Complex, increasing to +2 Culture (with Exploration)., Provides Tourism after researching Flight",Faith,Caguana
Camp,Animal Husbandry,Only on resource,"Deer, Furs, Ivory, Truffles, Honey","+2 Gold, +0.5 Housing, +1 Food (Mercantilism), +1 Production (Mercantilism), +1 Gold (Synthetic Materials)",Faith,
Château,Humanism,Must be built adjacent to a River.,,2 Culture +1 Appeal to adjacent tiles +2 Culture if adjacent to a Wonder +1 Gold if adjacent to a luxury resource,Faith,French
Colossal Heads,,,,"+2 Faith, +1 Faith for every 2 adjacent Woods or Rainforest, +1 Culture (Humanism)",Faith,La Venta
Farm,,"Grassland, Plains, Floodplains, also on Grassland (Hills), Plains (Hills) with Civil Engineering","Wheat, Rice, Maize","+1 Food, +0.5 Housing, +1 Food with two adjacent Farms (Feudalism), +1 Food for each adjacent Farm (Replaceable Parts)",Healing,
Fishing Boats,Sailing,Only on resource,"Fish, Crabs, Whales, Pearls","+1 Food, +0.5 Housing, +2 Gold (Cartography), +1 Food (Plastics)",Healing,
Fort,Siege Tactics,Any land,,"Occupying unit receives +4 Defense Strength and 2 turns of fortification., Built by a Military Engineer.",,
Great Wall,Masonry,Must be on territory border.,,Occupying unit receives +4 Defense Strength. +1 Gold for every adjacent Great Wall +1 Culture,Gold,Chinese
Hacienda,Mercantilism,"Must be built on Grassland, Grassland Hills, Plains or Plains Hills.",,+2 Gold+1 Production +1 Housing +1 Food from every 2 adjacent Plantations (increasing to +1 Food every Plantation with Replaceable Parts). Plantations and Haciendas receive +1 Production for every 2 adjacent Haciendas (increasing to +1 Production for every Hacienda with Rapid Deployment).,Healing,Gran Colombian
Kampung,Shipbuilding,Must be adjacent to a coastal resource.,,+1 Production +1 Housing +1 Food for each adjacent Fishing Boat +1 Housing (Mass Production) +1 Production (Civil Engineering) +1 Tourism per bonus Food on tile (Flight),Healing,Indonesian
Kurgan,Animal Husbandry,Cannot be built on Hills.,,+1 Faith +1 Gold +1 Faith for every adjacent Pasture +1 Gold (Guilds) +1 Gold (Capitalism),Faith,Scythian
