Policy,Type,Notes,Supersedes,Obsoleted by,Civic,Era
Survey,Military,Double experience for recon units.,,Native Conquest,Code of Laws,Ancient Era
God King,Economic,+1 Gold and Faith in the Capital.,,Scripture,Code of Laws,Ancient Era
Discipline,Military,+5 Combat Strength when fighting Barbarians.,,Native Conquest,Code of Laws,Ancient Era
Urban Planning,Economic,+1 Production in all cities.,,Rationalism,Code of Laws,Ancient Era
Ilkum,Economic,+30% Production towards Builders.,,Serfdom,Craftmanship,Ancient Era
Agoge,Military,"+50% Production towards Ancient and Classical era melee, ranged and anti-cavalry units.",,Feudal Contract,Craftmanship,Ancient Era
Caravansaries,Economic,+2 additional Gold from all Trade Routes.,,Triangular Trade,Foreign Trade,Ancient Era
Maritime Industries,Military,+100% Production towards all Ancient and Classical era naval units.,,"Press Gangs, International Waters",Foreign Trade,Ancient Era
Maneuver,Military,+50% Production towards all Ancient and Classical era light and heavy cavalry units.,,"Chivalry, Lightning Warfare",Military Tradition,Ancient Era
Strategos,Wildcard,+2 Great General points per turn.,,Military Organization,Military Tradition,Ancient Era
Conscription,Military,Unit maintenance reduced by 1 Gold per turn per unit.,,Levée en Masse,State Workforce,Ancient Era
Corvée,Economic,+15% Production towards Ancient and Classical era wonders.,,"Gothic Architecture, Skyscrapers",State Workforce,Ancient Era
Land Surveyors,Economic,Reduces the cost to purchase a tile by 20%.,,Expropriation,Early Empire,Ancient Era
Colonization,Economic,+50% Production towards Settlers.,,Expropriation,Early Empire,Ancient Era
Inspiration,Wildcard,+2 Great Scientist points per turn.,,Science Foundations,Mysticism,Ancient Era
Revelation,Wildcard,+2 Great Prophet points per turn.,,Humanism,Mysticism,Ancient Era
Insulae,Economic,+1 Housing in all cities with at least 2 specialty districts.,,Medina Quarter,Games and Recreation,Classical Era
Charismatic Leader,Diplomatic,+2 influence points per turn.,,Gunboat Diplomacy,Political Philosophy,Classical Era
Diplomatic League,Diplomatic,The first Envoy you send to each city-state counts as 2 Envoys.,,,Political Philosophy,Classical Era
Literary Tradition,Wildcard,+2 Great Writer points per turn.,,,Drama and Poetry,Classical Era
Raid,Military,Yields gained from pillaging are doubled for pillaging improvements.,,Total War,Military Training,Classical Era
Veterancy,Military,+30% Production towards Encampment districts and buildings.,,,Military Training,Classical Era
Bastions,Military,+6 City Defense Strength. +5 City Ranged Strength.,,Public Works,Defensive Tactics,Classical Era
Limes,Military,+100% Production towards defensive buildings.,,Lightning Warfare,Defensive Tactics,Classical Era
Natural Philosophy,Economic,+100% Campus district adjacency bonuses.,,Five-Year Plan,Recorded History,Classical Era
Scripture,Economic,+100% Holy Site district adjacency bonuses.,God King,,Theology,Classical Era
Naval Infrastructure,Economic,+100% Harbor district adjacency bonuses.,,Economic Union,Naval Tradition,Medieval Era
Navigation,Wildcard,+2 Great Admiral points per turn.,,,Naval Tradition,Medieval Era
Feudal Contract,Military,"+50% Production towards Ancient, Classical, Medieval and Renaissance era melee, ranged and anti-cavalry units.",Agoge,Grande Armée,Feudalism,Medieval Era
Serfdom,Economic,Newly trained Builders gain 2 extra build actions.,Ilkum,Public Works,Feudalism,Medieval Era
Meritocracy,Economic,Each city receives +1 Culture for each specialty district it constructs.,,,Civil Service,Medieval Era
Retainers,Military,+1 Amenity for cities with a garrisoned unit.,,Propaganda,Civil Service,Medieval Era
Sack,Military,Yields gained from pillaging are doubled for districts.,,Total War,Mercenaries,Medieval Era
Professional Army,Military,50% discount on all unit upgrades.,,Force Modernization,Mercenaries,Medieval Era
Trade Confederation,Economic,+1 Culture and +1 Science from international Trade Routes.,,Market Economy,Mercenaries,Medieval Era
Merchant Confederation,Diplomatic,+1 Gold from each of your city-state Envoys,,,Medieval Faires,Medieval Era
Aesthetics,Economic,+100% Theater Square district adjacency bonuses.,,Sports Media,Medieval Faires,Medieval Era
Medina Quarter,Economic,+2 Housing in all cities with at least 3 specialty districts.,Insulae,New Deal,Medieval Faires,Medieval Era
Craftsmen,Economic,+100% Industrial Zone district adjacency bonuses.,,Five-Year Plan,Guilds,Medieval Era
Town Charters,Economic,+100% Commercial Hub district adjacency bonuses.,,Economic Union,Guilds,Medieval Era
Traveling Merchants,Wildcard,+2 Great Merchant points per turn.,,Laissez-Faire,Guilds,Medieval Era
Chivalry,Military,+50% Production toward Industrial era and earlier light and heavy cavalry units.,Maneuver,Lightning Warfare,Divine Right,Medieval Era
Gothic Architecture,Economic,"+15% Production toward Ancient, Classical, Medieval and Renaissance era wonders.",Corvée,Skyscrapers,Divine Right,Medieval Era
Native Conquest,Military,Combat victories over units from earlier eras provide Gold equal to 50% of the Combat Strength of the defeated unit.,"Discipline, Survey",,Exploration,Renaissance Era
Colonial Offices,Economic,+15% faster growth for cities not on your original Capital's continent.,Urban Planning,,Exploration,Renaissance Era
Invention,Wildcard,+2 Great Engineer points per turn.,Revelation,,Humanism,Renaissance Era
Frescoes,Wildcard,+2 Great Artist points per turn.,Revelation,,Humanism,Renaissance Era
Machiavellianism,Diplomatic,+50% Production towards Spies. Spy operations take 25% less time.,,,Diplomatic Service,Renaissance Era
Wars of Religion,Military,+4 Combat Strength when fighting civilizations that follow other religions.,,,Reformed Church,Renaissance Era
Simultaneum,Economic,+100% Faith from Holy Site district buildings.,,,Reformed Church,Renaissance Era
Religious Orders,Economic,All religious units gain +5 Religious Strength in theological combat.,,,Reformed Church,Renaissance Era
Logistics,Military,+1 Movement if starting turn in friendly territory.,,,Mercantilism,Renaissance Era
Triangular Trade,Economic,+4 Gold and +1 Faith from all Trade Routes.,Caravansaries,Ecommerce,Mercantilism,Renaissance Era
Rationalism,Economic,+100% Science from Campus district buildings.,,,The Enlightenment,Renaissance Era
Free Market,Economic,+100% Gold yield from Commercial Hub district buildings.,,,The Enlightenment,Renaissance Era
Liberalism,Economic,+1 Amenity to all cities with at least 2 specialty districts.,,New Deal,The Enlightenment,Renaissance Era
Grande Armée,Military,"+50% Production towards Industrial era and earlier melee, ranged and anti-cavalry units.",Feudal Contract,Military First,Nationalism,Industrial Era
National Identity,Military,Units have 50% less Combat Strength reduction from being injured.,,,Nationalism,Industrial Era
Press Gangs,Military,+100% Production towards Industrial era and earlier naval units.,Maritime Industries,International Waters,Colonialism,Industrial Era
Colonial Taxes,Economic,+25% Gold in cities not on your original Capital's continent.,,,Colonialism,Industrial Era
Raj,Diplomatic,"+2 Science, Culture, Faith and Gold from all city-states you're Suzerain of.",,,Colonialism,Industrial Era
Public Works,Economic,+30% Production towards Builders. Newly trained Builders gain 2 additional Build actions.,Serfdom,,Civil Engineering,Industrial Era
Skyscrapers,Economic,+15% Production towards all Wonders.,Gothic Architecture,,Civil Engineering,Industrial Era
Grand Opera,Economic,+100% Culture from Theater Square district buildings.,,Professional Sports,Opera and Ballet,Industrial Era
Symphonies,Wildcard,+4 Great Musician points per turn.,,,Opera and Ballet,Industrial Era
Public Transport,Economic,Receive 50 Gold per Appeal of tile when replacing a Farm with a Neighborhood district.,,,Urbanization,Industrial Era
Military Research,Military,Military Academies and Seaports generate +1 Science.,,Integrated Space Cell,Urbanization,Industrial Era
Total War,Military,Yields gained from pillaging and coastal raids are +100%. +50% rewards for plundering Trade Routes.,"Raid, Sack",,Scorched Earth,Industrial Era
Expropriation,Economic,Settler cost reduced by 50%. Plot purchase cost reduced by 20%.,"Colonization, Land Surveyors",,Scorched Earth,Industrial Era
Military Organization,Wildcard,+4 Great General points per turn.,Strategos,,Scorched Earth,Industrial Era
Resource Management,Economic,1 copy of a Strategic Resource allows you to produce or purchase units requiring it in every city.,,,Conservation,Modern Era
Propaganda,Military,Accumulate 25% less war weariness than usual.,Retainers,,Mass Media,Modern Era
