Unit,Type,Era,Cost,Stats,Upgrades to,Notes,Unlocked by,Resource,Unique to,Replaces
AT Crew,Anti Cavalry,Modern Era,"Production: 400, Gold: 1600, Maint.: 4","Movement: 2, Melee: 70, Sight: 2",Modern AT,Modern era counter to cavalry class units.,Chemistry,,,
Aircraft Carrier,Naval Carrier,Atomic Era,"Production: 540, Gold: 2160, Maint.: 7","Movement: 3, Melee: 65, Sight: 2",,Atomic era naval unit that can transport 2 air units.,Combined Arms,Oil,,
Anti-Air Gun,Support,Atomic Era,"Production: 455, Gold: 1820, Maint.: 2","Movement: 2, Range: 1, Sight: 90",Mobile SAM,Atomic era anti-air support unit. Provides cover from air and nuclear attacks up to 1 tile away from the weapon.,Advanced Ballistics,,,
Archaeologist,Civilian,Industrial Era,"Production: 400, Gold: 1600","Movement: 4, Sight: 2",,Find and extract Artifacts from Antiquity Sites to be displayed in their home city's Museum.,Natural History,,,
Archer,Ranged,Ancient Era,"Production: 60, Gold: 240, Maint.: 1","Movement: 2, Melee: 15, Ranged: 25, Range: 2, Sight: 2",Crossbowman,First Ancient era ranged unit with Range of 2.,Archery,,,
Artillery,Siege,Modern Era,"Production: 430, Gold: 1720, Maint.: 6","Movement: 2, Melee: 60, Range: 2, Bombard: 80, Sight: 2",Rocket Artillery,"Modern era bombard unit, ideal for attacking cities. Cannot move and attack on the same turn unless they've earned the Expert Crew promotion.",Steel,,,
Battering Ram,Support,Ancient Era,"Production: 65, Gold: 260, Maint.: 1","Movement: 2, Sight: 2","Medic, Siege Tower","Ancient era support unit. When adjacent to a city , attacking melee units do full damage to the city's walls.",Masonry,,,
Battleship,Naval Ranged,Modern Era,"Production: 430, Gold: 1720, Maint.: 6","Movement: 5, Melee: 60, Ranged: 70, Range: 3, Sight: 90",Missile Cruiser,Modern era naval ranged unit. Provides cover from air and nuclear attacks up to 1 tile away.,Steel,Coal,,
Berserker,Melee,Medieval Era,"Production: 160, Gold: 640, Maint.: 3","Movement: 2, Melee: 40, Sight: 2",Musketman,Norwegian unique Medieval era unit. 4 Movement if this unit starts in enemy territory. +10 Combat Strength when attacking and -5 Combat Strength when defending.,Military Tactics,,Norwegian,
Biplane,Air Fighter,Modern Era,"Production: 430, Gold: 1720, Maint.: 6","Movement: 6, Melee: 80, Ranged: 75, Range: 4, Sight: 4","Fighter, P-51 Mustang","First air combat unit, available in the Modern era.",Flight,,,
Bombard,Siege,Renaissance Era,"Production: 280, Gold: 1120, Maint.: 4","Movement: 2, Melee: 43, Range: 2, Bombard: 55, Sight: 2",Artillery,"Renaissance era bombard unit, ideal for attacking cities. Cannot move and attack on the same turn unless they've earned the Expert Crew promotion.",Metal Casting,Niter,,
Bomber,Air Bomber,Atomic Era,"Production: 540, Gold: 2160, Maint.: 7","Movement: 10, Melee: 85, Range: 10, Bombard: 110, Sight: 4",Jet Bomber,"First bomber unit, available in the Atomic era.",Advanced Flight,Aluminum,,
Builder,Civilian,Ancient Era,"Production: 50, Gold: 200","Movement: 2, Build charges: 3, Sight: 2",,May create tile improvements or remove features like Woods or Rainforest. Build charges number can be increased through policies or wonders like the Pyramids.,,,,
Caravel,Naval Melee,Renaissance Era,"Production: 240, Gold: 960, Maint.: 4","Movement: 4, Melee: 55, Sight: 3",Ironclad,Fast Renaissance era exploration melee naval unit.,Cartography,,,
Catapult,Siege,Classical Era,"Production: 120, Gold: 480, Maint.: 2","Movement: 2, Melee: 23, Range: 2, Bombard: 35, Sight: 2",Bombard,"Classical era bombard unit, ideal for attacking cities. Cannot move and attack on the same turn unless they've earned the Expert Crew promotion.",Engineering,,,
Cavalry,Light Cavalry,Industrial Era,"Production: 330, Gold: 1320, Maint.: 5","Movement: 5, Melee: 62, Sight: 2",Helicopter,Fast-moving Industrial era light cavalry unit.,Military Science,Horses,,
Conquistador,Melee,Renaissance Era,"Production: 250, Gold: 1000, Maint.: 4","Movement: 2, Melee: 55, Sight: 2",Infantry,"Spanish unique Renaissance era unit that replaces the Musketman. +10 Combat Strength when there is a Missionary , Inquisitor , Apostle or Guru in the same hex. If this unit captures a city or is adjacent to a city when it is captured, the city will be converted to Spain's majority Religion.",Gunpowder,,Spanish,Musketman
Cossack,Light Cavalry,Industrial Era,"Production: 340, Gold: 1360, Maint.: 5","Movement: 5, Melee: 67, Sight: 2",Helicopter,"Russian unique Industrial era unit that replaces Cavalry. Stronger than Cavalry, and gains +5 Combat Strength when fighting in or adjacent to its home territory. Can move after attacking if Movement points remain.",Military Science,,Russian,Cavalry
Crossbowman,Ranged,Medieval Era,"Production: 180, Gold: 720, Maint.: 3","Movement: 2, Melee: 30, Ranged: 40, Range: 2, Sight: 2",Field Cannon,Medieval era ranged unit.,Machinery,,,
Crouching Tiger,Ranged,Medieval Era,"Production: 160, Gold: 640, Maint.: 3","Movement: 2, Melee: 30, Ranged: 50, Range: 1, Sight: 2",Field Cannon,Chinese unique Medieval era unit. Ranged unit with a Range of 1 and high combat strength.,Machinery,,Chinese,
Destroyer,Naval Melee,Atomic Era,"Production: 540, Gold: 2160, Maint.: 7","Movement: 4, Melee: 80, Sight: 90",,Strongest melee naval unit. Reveals Naval Raiders within sight range.,Combined Arms,,,
Digger,Melee,Modern Era,"Production: 430, Gold: 1720, Maint.: 6","Movement: 2, Melee: 72, Sight: 2",Mechanized Infantry,Australian unique Modern era unit that replaces Infantry. +10 Combat Strength when fighting on Coastal tiles. +5 Combat Strength when fighting on Neutral or Foreign Territory.,Replaceable Parts,,Australian,Infantry
Domrey,Siege,Medieval Era,"Production: 220, Gold: 880, Maint.: 3","Movement: 2, Melee: 33, Range: 2, Bombard: 45, Sight: 2",Artillery,Khmer unique Medieval era siege unit. Can move and shoot in the same turn and exerts zone of control.,Military Engineering,,Khmer,
Dromon,Naval Ranged,Classical Era,"Production: 120, Maint.: 2","Movement: 3, Melee: 20, Ranged: 25, Range: 2, Sight: 2",Frigate,Byzantine unique Classical Era unit that replaces the Quadrireme that has additional range and receives +10 Ranged Strength against units.,Shipbuilding,,Byzantine,Quadrireme
Eagle Warrior,Melee,Ancient Era,"Production: 65, Gold: 260","Movement: 2, Melee: 28, Sight: 2",Swordsman,Aztec unique Ancient era unit that replaces the Warrior. Has a chance to capture other civilizations' military units by turning them into Builders.,,,Aztec,Warrior
Field Cannon,Ranged,Industrial Era,"Production: 330, Gold: 1320, Maint.: 5","Movement: 2, Melee: 50, Ranged: 60, Range: 2, Sight: 2",Machine Gun,Industrial era ranged unit.,Ballistics,,,
Fighter,Air Fighter,Atomic Era,"Production: 520, Gold: 2080, Maint.: 7","Movement: 8, Melee: 100, Ranged: 100, Range: 5, Sight: 4",Jet Fighter,Atomic era Biplane upgrade.,Advanced Flight,Aluminum,,
Frigate,Naval Ranged,Renaissance Era,"Production: 280, Gold: 1120, Maint.: 5","Movement: 4, Melee: 45, Ranged: 55, Range: 2, Sight: 2","Battleship, Minas Geraes",Renaissance era ranged naval unit.,Square Rigging,,,
Gaesatae,Melee,Ancient Era,"Production: 60, Gold: 240","Movement: 2, Melee: 20, Sight: 2",Musketman,Gallic unique Ancient Era unit that replaces the Warrior. More expensive but receives +10 Combat Strength when fighting units with a higher base Combat Strength. +5 Combat Strength vs. district defenses.,,,Gallic,Warrior
Galley,Naval Melee,Ancient Era,"Production: 65, Gold: 260, Maint.: 1","Movement: 3, Melee: 30, Sight: 2",Caravel,Ancient era melee naval combat unit. Can only operate on coastal waters until Cartography is researched.,Sailing,,,
Garde Impériale,Melee,Industrial Era,"Production: 340, Gold: 1360, Maint.: 5","Movement: 2, Melee: 65, Sight: 2",Mechanized Infantry,French unique Industrial era melee unit. +10 Combat Strength when fighting on your capital's continent. Great General points for killing units.,Military Science,,French,
Heavy Chariot,Heavy Cavalry,Ancient Era,"Production: 65, Gold: 260, Maint.: 1","Movement: 2, Melee: 28, Sight: 2","Knight, Mamluk","Gains 1 bonus Movement if it begins a turn on a flat tile with no Woods , Rainforest , or Hills.",Wheel,,,
Helicopter,Light Cavalry,Atomic Era,"Production: 600, Gold: 2400, Maint.: 7","Movement: 4, Melee: 82, Sight: 3",,Fast-moving Atomic era light cavalry unit.,Synthetic Materials,,,
Hetairoi,Heavy Cavalry,Classical Era,"Production: 100, Gold: 400, Maint.: 2","Movement: 4, Melee: 36, Sight: 2",Knight,Macedonian unique heavy cavalry unit that replaces the Horseman. Additional +5 Combat Strength when adjacent to a Great General. +5 Great General points when killing an enemy unit. Starts with 1 free Promotion.,Horseback Riding,,Alexander,Horseman
Hoplite,Anti Cavalry,Ancient Era,"Production: 65, Gold: 260, Maint.: 1","Movement: 2, Melee: 25, Sight: 2",Pikeman,Greek unique Ancient era unit that replaces the Spearman. +10 Combat Strength if there is at least one adjacent Hoplite unit.,Bronze Working,,Greek,Spearman
Horseman,Light Cavalry,Classical Era,"Production: 80, Gold: 320, Maint.: 2","Movement: 4, Melee: 36, Sight: 2","Oromo Cavalry, Cavalry, Cossack, Llanero",Fast-moving Classical era light cavalry unit.,Horseback Riding,Horses,,
Hul'che,Ranged,Ancient Era,"Production: 60, Gold: 240, Maint.: 1","Movement: 2, Melee: 15, Ranged: 28, Range: 2, Sight: 2",Crossbowman,Mayan unique Ancient Era ranged unit that replaces the Archer. Strong ranged attack. +5 Ranged Strength when fighting a wounded opponent.,Archery,,Mayan,Archer
Hypaspist,Melee,Classical Era,"Production: 100, Gold: 400, Maint.: 2","Movement: 2, Melee: 36, Sight: 2",Musketman,Macedonian unique melee unit that replaces the Swordsman. +5 Combat Strength when besieging Districts. 50% Additional Support Bonus.,Iron Working,,Macedonian,Swordsman
